brand_name,product_name,price_usd,product_description,ingredients,approval_rating,review_count
Kose,Kose - Softymo Cleansing Oil,US$ 10.00,"Cleansing oil removes makeup, including stubborn mascara, as well as dead skin cells and excess dirt, without leaving any oily residue. Gentle formula suitable for dry skin brightens and thoroughly cleanses, making double-cleansing unnecessary. Made with five types of oil including olive oil, jojoba oil, sesame oil, safflower oil and shea butter to keep skin moisturized.","sesame seed oil, glycerin, ascorbyl palmitate, safflower oil, squalane, baobab seed oil, isopropyl myristate, water, phenoxyethanol, grape seed oil, shea butter, Mineral oil, tocopherol, cetyl ethylhexanoate, olive fruit oil, corn germ oil, jojoba seed oil, cyclopentasiloxane, Water, PG dicaprate, Prunus Armeniaca (Apricot) Kernel Oil, Corn Germ Oil, dicapric acid PG, polyglyceryl diisostearate-2・Dicapric acid PG・Trilaureth-4 phosphate・Water・Phenoxyethanol, Cyclomethicone, Rose Hip Oil, Trilaureth-4 Phosphate, Olea Europaea (Olive) Fruit Oil, Jojoba seed oil, Sesamum Indicum (Sesame) Seed Oil, orange oil, Cetyl Ethylhexanoate, almond oil, rice bran oil, Helianthus Annuus (Sunflower) Seed Oil, Orange Oil, Sorbeth-30 Tetraoleate, propylene glycol dicaprate, Jojoba Seed Oil, COIX LACRYMA-JOBI MA-YUEN SEED OIL, Isopropyl Myristate, Safflower Oil, Ascorbyl Dipalmitate, Polyglyceryl-2 Diisostearate, bisethoxydiglycol cyclohexane-1, BHT, Glycerin, Oryza Sativa (Rice) Bran Oil, sorbeth-30 tetraoleate, PEG-8 glyceryl isostearate, trilaureth-4 phosphate, Phenoxyethanol, Propylene Glycol Dicaprate, orange peel oil, cyclomethicone, Butyrospermum Parkii (Shea) Butter, Mineral Oil, cyclohexane-1, sesame oil, Rice Bran Oil, 4-dicarboxylate, PEG-8 Glyceryl Isostearate, Tocopherol, 4-dicarboxylic acid bisethoxydiglycol",95.40%,"6,886"
I'm from,I'm from - Rice Toner Mini,US$ 5.60,"Packed with goami (rice) extracts, this toner leaves skin glowing with its whitening, anti-wrinkle as well as moisturizing benefits. Gently shake before use.","Oryza Sativa (Rice) Extract (77.78%), Methylpropanediol, Triethylhexanoin, Hydrogenated Poly(C6-14 Olefin), Niacinamide, Pentylene Glycol, Portulaca Oleracea Extract, Oryza Sativa (Rice) Bran Extract, Ulmus Davidiana Root Extract, Amaranthus Caudatus Seed Extract, Hydrogenated Lecithin, Water, Polyglyceryl-10 Myristate, Butylene Glycol, Adenosine, Cellulose Gum, Ethylhexylglycerin, 1,2-Hexanediol",96.80%,"4,262"
SOME BY MI,"SOME BY MI - AHA, BHA, PHA 30 Days Miracle Toner 150ml",US$ 15.80,"This toner works wonder on your skin in just 30 days! Suitable for sensitive and acne-prone skin, the toner is infused with AHA to slough off dead skin cells; BHA to remove excess sebum; PHA to prevent moisture loss; and tea tree to combat acne.","Water, Butylene Glycol, Dipropylene Glycol, Glycerin, Niacinamide, Melaleuca Alternifolia (Tea Tree) Leaf Extract (10000ppm), Polyglyceryl-4 Caprate, Carica Papaya (Papaya) Fruit Extract, Lens Esculenta (Lentil) Seed Extract, Hamamelis Virginiana (Witch Hazel) Extract, Nelumbo Nucifera (Sacred Lotus) Flower Extract, Swiftlet Nest Extract, Sodium Hyaluronate, Fructan, Allantoin, Adenosine, Hydroxyethyl Urea, Xylitol, Salicylic Acid (100ppm), Lactobionic Acid (100ppm), Citric Acid (500ppm), Sodium Citrate, 1,2-Hexanediol, Benzyl Glycol, Ethylhexylglycerin, Raspberry Ketone, Mentha Piperita (Peppermint) Oil",95.20%,"9,812"
numbuzin,numbuzin - No.9 NAD Bio Lifting-sil Essence,US$ 26.40,,"Water, Glycerin, Hydrogenated Poly(C6-14 Olefin), Polyglycerin-3, Butylene Glycol, Pentaerythrityl Tetraethylhexanoate, Propanediol, Dimethicone, 1,2-Hexanediol, Niacinamide, Methylpropanediol, Cetearyl Alcohol, Glyceryl Stearate, Hydrogenated Vegetable Oil, Polyglyceryl-3 Methylglucose Distearate, Butyrospermum Parkii (Shea) Butter, Dimethicone Crosspolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Sodium Polyacrylate, Hydrogenated Lecithin, Carbomer, Xanthan Gum, Pentylene Glycol, Tromethamine, Ethylhexylglycerin, Adenosine, Palmitic Acid, Stearic Acid, Sodium Phytate, Cholesterol, Sodium Hyaluronate, Adenosine Triphosphate, Hydroxypropyl Cyclodextrin, Nicotinamide Adenine Dinucleotide, Beta-Glucan, Tocopherol, Palmitoyl Tripeptide-5, Copper Gluconate, Saccharomyces/Copper Ferment, Saccharomyces/Iron Ferment, Saccharomyces/Magnesium Ferment, Saccharomyces/Silicon Ferment, Saccharomyces/Zinc Ferment, Capryloyl Dipeptide-17, Thioctic Acid, Leuconostoc/Radish Root Ferment Filtrate, Glutathione, Tremella Fuciformis (Mushroom) Extract, Haematococcus Pluvialis Oil, Potassium Hydroxide, Resveratrol, Hesperidin Methyl Chalcone, Sorbitan Laurate, Steareth-20, Astaxanthin, Sodium Lactate, Hydroxyethylcellulose, Acetyl Dipeptide-1 Cetyl Ester, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Heptasodium Hexacarboxymethyl Dipeptide-12, Panthenol, Polysorbate 20, Sodium Citrate, Chlorhexidine Digluconate, Dextran, Hexapeptide-2, Magnesium Chloride, Tetradecyl Aminobutyroylvalylaminobutyric Urea Trifluoroacetate, Acetyl Tetrapeptide-5, Dipeptide-2, Potassium Sorbate, Acetyl Hexapeptide-8, Palmitoyl Dipeptide-5 Diaminobutyroyl Hydroxythreonine, Citric Acid, Biotin, Palmitoyl Tetrapeptide-7, Biotinoyl Tripeptide-1, Acetyl Tetrapeptide-3, Trifolium Pratense (Clover) Flower Extract, Tocopheryl Acetate, Palmitoyl Tripeptide-8, Dipeptide-4, Hexapeptide-11, Pentapeptide-18, Tripeptide-3, Sh-Decapeptide-7, Sh-Octapeptide-4, Palmitoyl Tripeptide-1, Ascorbic Acid Polypeptide, Hexapeptide-9, Oligopeptide-3, Palmitoyl Hexapeptide-12, Tripeptide-1, Palmitoyl Pentapeptide-4, Ubiquinone, Copper Tripeptide-1, Caffeoyl Tripeptide-1, Caffeoyl Sh-Octapeptide-4, Galloyl Pentapeptide-33, Kojyl Carboxy Dipeptide-23, Nicotinoyl Tripeptide-1, Octapeptide-7, Oligopeptide-1, Sh-Decapeptide-9, Sh-Oligopeptide-9, Sh-Pentapeptide-19, Asparagine, Glutamine, Tryptophan, Oligopeptide-2, Sh-Oligopeptide-1, Sh-Oligopeptide-2, Sh-Polypeptide-1, Sh-Polypeptide-22, Sh-Polypeptide-3, Acetyl Octapeptide-3, Acetyl Tetrapeptide-2, Acetyl Tetrapeptide-9, Carnosine, Nonapeptide-1",96.20%,15
SOME BY MI,SOME BY MI - Retinol Intense Reactivating Serum,US$ 22.30,"This serum is infused with retinol, retinal and bakuchiol to boost skin elasticity and reduce signs of aging. It's created with patented elastic-liposome technology to deliver active ingredients deep into skin. The gentle formula gives a non-sticky, moisturizing finish without any irritation. Recommended for sensitive skin.","Water, Cyclohexasiloxane, Dicaprylyl Carbonate, Glycerin, Methylpropanediol, 1,2-Hexanediol, Niacinamide, Hydrogenated Poly(C6-14 Olefin), Panthenol, Tocopheryl Acetate, Piper Methysticum Leaf/Root/Stem Extract, Centella Asiatica Extract, Panax Ginseng Berry Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Ficus Carica (Fig) Fruit Extract, Centella Asiatica Leaf Extract, Centella Asiatica Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Artemisia Capillaris Extract, Eclipta Prostrata Extract, Melia Azadirachta Leaf Extract, Elaeis Guineensis (Palm) Oil, Hydrogenated Lecithin, Glyceryl Stearate, Bakuchiol, Palmitic Acid, Sodium Polyacrylate, Stearic Acid, Xanthan Gum, Retinol (0.1 %), Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, Dipotassium Glycyrrhizate, Adenosine, Tromethamine, Polyquaternium-51, Beta-Glucan, Cetyl Alcohol, BHT, Collagen, Myristic Acid, BHA, Leuconostoc/Radish Root Ferment Filtrate, Tocopherol, Bifida Ferment Lysate, Ceramide NP, Saccharomyces Ferment, Retinal, Asiaticoside, Glyceryl Polymethacrylate, Madecassoside, Propylene Glycol, Polyglyceryl-10 Oleate, Glycolipids, Glycine Soja (Soybean) Peptide, Resveratrol, Sucrose Distearate, Asiatic Acid, Madecassic Acid, Palmitoyl Tripeptide-1, Moringa Oleifera Seed Oil, PEG-100 Stearate, Polysorbate 20, Fragrance, Ethylhexylglycerin",95.20%,"1,530"
Rohto Mentholatum,Rohto Mentholatum - Melano CC Vitamin C Essence,US$ 10.17,"Banish hyperpigmention and tone up skin with this lightweight essence chock-full of Vitamin C and Vitamin E derivatives. Quick-absorbent formula penetrates deep beneath the dermal layer to restore radiance to skin, while leaving no greasy residue.","● Active ingredients: ascorbic acid (active vitamin C), tocopherol acetate (vitamin E derivative), dipotassium glycyrrhizinate, isopropylmethylphenol ● Other ingredients: vitamin C tetraisopalmitate, ethoxydiglycol, Alpinia katsumadai seed extract (alpinia white), BG, edetate, viscosity modifier, fragrance",96.80%,"4,704"
Anua,Anua - Peach 70 Niacin Serum,US$ 20.00,Your skin will feel peachy after using this serum blended with 70% peach fruit extract and 5% niacinamide to even out skin tone. The serum promotes clear and smooth skin by clarifying pores with Peach Yogurt Complex (containing peach flower extract and betaine salicylate). It moisturizes and nourishes skin with Vitamin B12 and hyaluronic acids.,"Prunus Persica (Peach) Fruit Water (77%), Glycerin, Niacinamide (5%), Butylene Glycol, Diethoxyethyl Succinate, Water, 1,2-Hexanediol, Lactobacillus Ferment, Sodium Hyaluronate, Sphingomonas Ferment Extract, Alpha-Arbutin, Melia Azadirachta Flower Extract, Ocimum Sanctum Leaf Extract, Melia Azadirachta Leaf Extract, Carthamus Tinctorius (Safflower) Seed Oil, Salvia Hispanica Seed Oil, Curcuma Longa (Turmeric) Root Extract, Corallina Officinalis Extract, Hydrolyzed Hyaluronic Acid, Chamaecyparis Obtusa Leaf Extract, Prunus Persica (Peach) Flower Extract, Camellia Sinensis Seed Oil, Yeast Ferment Extract, Centella Asiatica Extract, Artemisia Princeps Leaf Extract, Candida Bombicola/Glucose/Methyl Rapeseedate Ferment, Pentylene Glycol, Polyglyceryl-10 Laurate, Betaine Salicylate, Sodium Phytate, Cellulose, Caprylic/Capric Triglyceride, Hydrogenated Lecithin, Panthenol, Polyglutamic Acid, Linoleic Acid, Linolenic Acid, Polyglyceryl-10 Oleate, Sucrose Palmitate, Cyanocobalamin, 3-O-Ethyl Ascorbic Acid, Ceramide NP, Asiaticoside, Madecassic Acid, Asiatic Acid, Xanthan Gum, Fragrance",95.70%,"2,743"
LINDSAY,LINDSAY - Modeling Mask Cup Pack - 8 Types,US$ 3.00,"Coming in a thick, nourishing formulation that dries to a rubbery finish, LINDSAY’s modeling masks adhere closely to skin to promote quick delivery of active ingredients while lifting away impurities. The mask comes in different types targeting specific skin care concerns, including Cool Tea Tree to soothe and hydrate, Pearl to brighten and Charcoal to unclog pores. To use, mix powder with 7 to 8 spoonfuls of cold water before evenly applying mask onto face using the included spatula. Leave on for 15 minutes before peeling it off.","Diatomaceous Earth, Glucose, Tapioca Starch, Dextrin, Calcium Sulfate, Algin, Tetrapotassium Pyrophosphate, Kaolin, Houttuynia Cordata Extract, Houttuynia Cordata Powder, Artemisia Princeps Extract, Artemisia Princeps Leaf Extract, Artemisia Capillaris Extract, Artemisia Princeps Leaf Powder, Camellia Sinensis Leaf, Camellia Sinensis Leaf Powder, Camellia Sinensis Leaf Extract, Solanum Melongena (Eggplant) Fruit Extract, Opuntia Coccinellifera Flower Extract, Pinus Densiflora Leaf Extract, Camellia Japonica Leaf Extract, Paeonia Lactiflora Extract, Chlorella Vulgaris Powder, Theobroma Cacao (Cocoa) Fruit Powder, Allantoin, Betaine, Portulaca Oleracea Extract, Centella Asiatica Extract, Aloe Arborescens Leaf Powder, Magnesium Carbonate, Cellulose Gum, Dehydroacetic Acid",96.60%,944
SOME BY MI,SOME BY MI - Retinol Intense Advanced Triple Action Eye Cream,US$ 17.10,"Soften fine lines, remove dark circles and reduce signs of aging with this powerful eye cream infused with retinol to promote skin cell turnover, niacinamide for brightening benefits as well as hyaluronic acid and panthenol for deep hydration. For optimal effects, apply onto the inner corners of eyes before spreading outwards.","Water, Glycerin, Caprylic/Capric Triglyceride, Dimethicone, Polysorbate 60, Niacinamide, Methylpropanediol, Cetyl Alcohol, Polymethylsilsesquioxane, Centella Asiatica Extract, Dioscorea Japonica Root Extract, Piper Methysticum Leaf/Root/Stem Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Panax Ginseng Berry Extract, Artemisia Capillaris Extract, Ganoderma Lucidum (Mushroom) Stem Extract, Chlorella Vulgaris Extract, Glycine Soja (Soybean) Seed Extract, Nymphaea Alba Flower Extract, Elaeis Guineensis (Palm) Oil, Hydrogenated Lecithin, Sodium Hyaluronate, 1,2-Hexanediol, Dimethicone/Vinyl Dimethicone Crosspolymer, Panthenol, BHT, Cyclopentasiloxane, Steareth-21, PEG-10 Dimethicone/Vinyl Dimethicone Crosspolymer, Polyacrylamide, Steareth-2, Isohexadecane, Carbomer, Hydroxyacetophenone, C13-14 Isoparaffin, Tromethamine, Palmitic Acid, Polyquaternium-51, Stearic Acid, Polysorbate 20, Retinol(0.1%), Ethylhexylglycerin, Glyceryl Caprylate, Tocopheryl Acetate, Polyglyceryl-10 Myristate, PEG-30 Dipolyhydroxystearate, Hydroxyethylcellulose, Glycosyl Trehalose, Beta-Glucan, Glyceryl Polymethacrylate, Laureth-7, Butylene Glycol, Disodium EDTA, Hydrogenated Starch Hydrolysate, Adenosine, Raffinose, Dipotassium Glycyrrhizate, Lecithin, Tocopherol, Pentylene Glycol, BHA, Myristic Acid, Tranexamic Acid, Propanediol, Dipropylene Glycol, Disodium Phosphate, Caprylyl Glycol, Collagen, Madecassic Acid, Biosaccharide Gum-1, Asiaticoside, Sodium Palmitoyl Proline, Leuconostoc/Radish Root Ferment Filtrate, Asiatic Acid, Glutathione, Retinal, Madecassoside, Sodium Phosphate, Ferulic Acid, Acetyl Hexapeptide-8, Ammonium Acryloyldimethyltaurate/VP Copolymer, Tetrahydropiperine, Phloretin, Arginine, Fragrance",95.20%,"1,698"
SKIN 1004,SKIN 1004 - Madagascar Centella Tone Brightening Capsule Ampoule,US$ 10.50,This lightweight and watery dual-function ampoule moisturizes and brightens skin. The patented ingredient MadeWhite™ contains cica-derived madecassoside and niacinamide for brightening and soothing properties. It’s boosted with 2% tranexamic acid and Vitamin C for synergic brightening effects.,"Water(Aqua), Butylene Glycol, Niacinamide, Glycerin, Tranexamic Acid, 1,2-Hexanediol, Betaine, Centella Asiatica Extract, Zea Mays (Corn) Starch, Xanthan Gum, Microcrystalline Cellulose, Mannitol, Panthenol, Pentylene Glycol, Ethylhexylglycerin, Hydroxyethylcellulose, Madecassoside, Acrylates/ C10-30 Alkyl Acrylate Crosspolymer, Arginine, Hydrogenated Lecithin, Xylitylglucoside, Anhydroxylitol, Xylitol, Glucose, 3-O-Ethyl Ascorbic Acid, Lactobacillus Ferment",98.10%,582
VT,VT - Reedle Shot 100 2 Step Mask,US$ 3.00,"Improve skin texture and shrink enlarged pores with this two-step mask pack. The first step contains VT’s Reedle Shot 100, a skin treatment formulated with CICAHYALON™ for hydrating and soothing care. It’s powered by Cica Reedle™, an innovative skin care technology that imitates microneedling treatment to deliver low-molecular active ingredients deep into skin. The second step of mask includes the Reedle Shot Balance Mask that locks in moisture on skin and enhances the effectiveness of the Reedle Shot 100 ampoule. Suitable for all skin types including sensitive skin.","[Step 1] Water, Dipropylene Glycol, Glycerin, Niacinamide, Butylene Glycol, Macadamia Ternifolia Seed Oil, 1,2-Hexanediol, Ethylhexyl Palmitate, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyisobutene, Silica, Glycereth-26, Ethylhexylglycerin, Caprylyl Glycol, Adenosine, Sodium Polyacrylate, Sodium Hyaluronate, Centella Asiatica Extract, Caprylyl/Capryl Glucoside, Sorbitan Oleate, Xanthan Gum, Propolis Extract, Asiaticoside, Madecassoside, Madecassic Acid, Asiatic Acid, Glycine, Serine, Glutamic Acid, Aspartic Acid, Leucine, Alanine, Lysine, Arginine, Tyrosine, Phenylalanine, Threonine, Proline, Valine, Isoleucine, Histidine, Methionine, Cysteine [Step 2] Water, Butylene Glycol, Glycerin, Niacinamide, Isopentyldiol, Betaine, Dipropylene Glycol, 1,2-Hexanediol, Hydroxyacetophenone, Sodium Polyacrylate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Olea Europaea (Olive) Fruit Oil, Allantoin, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Hydrogenated Lecithin, Squalane, Ethylhexylglycerin, Xanthan Gum, Adenosine, Disodium EDTA, Sorbitan Isostearate, Ceramide NP, Cholesterol, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Phytosphingosine, Centella Asiatica Extract, Oleic Acid, Stearic Acid, Hydrolyzed Collagen, Silica, Sodium Hyaluronate, Tocopherol, Brassica Campestris (Rapeseed) Sterols, Asiaticoside, Asiatic Acid, Madecassic Acid, Madecassoside, Propolis Extract",97.20%,28
Anua,Anua - Heartleaf 77 Clear Pad,US$ 22.40,"Drenched with Anua’s Heartleaf 77% Soothing Toner, these toner pads deliver ample moisture and soothe skin irritation. They contain a blend of plant-based extracts to control sebum production and tighten enlarged pores. The toner pads come with an embossed side to slough away dead skin cells and impurities for soft and smooth skin.","Houttuynia Cordata Extract (77%), Water, Gluconolactone, Propanediol, Tromethamine, Butylene Glycol, 1,2-Hexanediol, Betaine, Ammonium Acryloyldimethyltaurate/VP Copolymer, Ulmus Davidiana Root Extract, Pueraria Lobata Root Extract, Pinus Palustris Leaf Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Camellia Sinensis Leaf Extract, Coix Lacryma-Jobi Ma-yuen Seed Extract, Portulaca Oleracea Extract, Centella Asiatica Extract, Madecassoside, Asiatic Acid, Asiaticoside, Madecassic Acid, Sodium Phytate",95.70%,"4,025"
celimax,celimax - The Real Noni Acne Bubble Cleanser,US$ 16.50,"Thoroughly rid skin of impurities and excess sebum without stripping it of moisture with this pH-balanced foam cleanser. Noni extract and ACZERO Complex in the formula provide brightening and soothing effects, while BHA gently exfoliates away dead skin cells for soft and supple skin. The hypoallergenic formula is suitable for all skin types including sensitive and acne-prone skin.","Water, Cocamidopropyl Betaine, Butylene Glycol, Glycerin, Potassium Cocoyl Glycinate, Lauramide DEA, Sodium Chloride, Disodium Cocoamphodiacetate, Sodium Cocoyl Glutamate, Panthenol, 1,2-Hexanediol, Methylpropanediol, Morinda Citrifolia Extract(0.3%), Allantoin, Salicylic Acid, Caprylyl Glycol, Sodium Benzoate, Dipotassium Glycyrrhizate, Rosmarinus Officinalis (Rosemary) Leaf Oil, Salix Alba (Willow) Bark Extract, Camellia Sinensis Leaf Extract, Centella Asiatica Leaf Extract, Cladosiphon Okamuranus Extract, Decyl Glucoside, Buteth-3, Piroctone Olamine, Disodium EDTA, Citric Acid, Melia Azadirachta Leaf Extract, Coffea Arabica (Coffee) Seed Extract, Sodium Benzotriazolyl Butylphenol Sulfonate, Melia Azadirachta Flower Extract, Prunus Mume Fruit Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Scutellaria Baicalensis Root Extract, Citrus Aurantium Bergamia (Bergamot) Leaf Extract, Pinus Densiflora Leaf Extract, Tributyl Citrate, Theobroma Cacao (Cocoa) Extract, Dextrin, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Extract, Pueraria Lobata Root Extract",97.50%,78
COSRX,COSRX - AHA/BHA Clarifying Treatment Toner,US$ 14.00,"Spray bottle design makes it easy to add this toner to your skin regimen or to refresh your face whenever you like. Enriched with 10% pyrus malus or apple water, the water provides gentle exfoliation to get rid of dead surface skin cells and excess oil while prepping your skin to receive the nourishment and treatment from your other skin care products.","Water, Salix Alba (Willow) Bark Water, Pyrus Malus (Apple) Fruit Water, Butylene Glycol, 1,2-Hexanediol, Sodium Lactate, Glycolic Acid, Betaine Salicylate, Allantoin, Panthenol, Ethyl Hexanedio",96.50%,"11,095"
I'm from,I'm from - Rice Cream,US$ 21.00,"Formulated with rice bran ceramide, I’m from’s simple but powerful vegan moisturizer effectively controls sebum, locks in moisture and strengthens skin, producing a revitalized glow. Comes in a silky cream texture that melts instantly into skin.","Oryza Sativa (Rice) Bran Water (41%), Water, Glycerin, Butylene Glycol, Cetyl Ethylhexanoate, Pentaerythrityl Tetraethylhexanoate, Hydrogenated Polyisobutene, Synthetic Beeswax, Butyrospermum Parkii (Shea) Butter, Polyglyceryl-3 Methylglucose Distearate, Vinyl Dimethicone, Pentylene Glycol, 1,2-Hexanediol, Behenyl Alcohol, Glyceryl Stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Bisabolol, Cetearyl Olivate, Panthenol, Sorbitan Olivate, Caprylyl Glycol, Ethylhexylglycerin, Xanthan Gum, Adenosine, Trisodium Ethylenediamine Disuccinate, Sodium Hyaluronate, Ceramide NP, Hydrolyzed Hyaluronic Acid, Oryza Sativa (Rice) Bran Oil, Tocopherol, Phytosphingosine, Caprylic/Capric Triglyceride, Hydrogenated Lecithin",96.80%,"1,487"
Purito SEOUL,Purito SEOUL - Wonder Releaf Centella Cream Unscented,US$ 14.70,"Formerly the Centella Unscented Recovery Cream, this newly repackaged version of PURITO’s beloved moisturizer is anchored in K-Beauty staples like cica, squalane and ceramide NP for calming, barrier-supporting and moisturizing care. The formula is fragrance-free.",,,"1,296"
APLB,APLB - Glutathione Niacinamide Ampoule Serum,US$ 9.80,"This do-it-all ampoule offers brightening, moisturizing and anti-aging benefits to satisfy all your skin care needs. It’s enriched with 1,000ppm of glutathione and 20,000ppm of niacinamide to revitalize dull skin. Serum contains hyaluronic acid and beta-glucan to deliver a moisture boost, as well as collagen and adenosine to improve skin elasticity. Cica complex in the formula offers a soothing touch.","Water, Centella Asiatica Extract (29.2%), Butylene Glycol, Propanediol, Niacinamide (20,000ppm), Glycerin, Diethoxyethyl Succinate, Panthenol, Sodium Hyaluronate, Allantoin, Glutathione (1,000ppm), Sodium Polyacryloyldimethyl Taurate, Glyceryl Acrylate/Acrylic Acid Copolymer, Nelumbo Nucifera Extract, Artemisia Annua Extract, Oryza Sativa (Rice) Extract, Saccharomyces Ferment, Solanum Melongena (Eggplant) Fruit Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Hydrolyzed Collagen, Squalane, Beta-Glucan, Dipropylene Glycol, Hippophae Rhamnoides Fruit Extract, Adenosine, Madecassic Acid, Asiaticoside, Asiatic Acid, Caprylic/Capric Triglyceride, Hydrogenated Lecithin, Glyceryl Stearate, Cholesterol, Styrene/Acrylates Copolymer, Cellulose Gum, Xanthan Gum, Inulin, Cellulose, Glucose, Fructose, Citric Acid, Disodium EDTA, Hydroxyacetophenone, 1,2-Hexanediol, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Sodium Citrate",98%,"1,461"
VT,VT - Reedle Shot All In One 3 Step Mask,US$ 3.46,"VT’s Reedle Shot All In One 3 Step Mask is designed to deliver hydrating and elasticity care deep into skin. Each step contains VT’s CICA REEDLE™ made up of micro-sized mineral-derived particles that mimic microneedling treatments to help ingredients absorb deeper into skin. Step 1 is the Reedle Shot 300, an essence formulated with moisturizing hyaluronic acid and collagen-boosting amino acids. Step 2 is the Reedle Shot Mask, a sheet mask drenched with peptides, panthenol and hyaluronic acid for smooth and hydrated skin. Step 3 is the Reedle Shot Lifting Cream formulated with collagen and elastin to boost skin elasticity and lock in moisture.","[Step 1] Water, Dipropylene Glycol, Glycerin, Niacinamide, Butylene Glycol, Macadamia Ternifolia Seed Oil, 1,2-Hexanediol, Ethylhexyl Palmitate, Silica, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyisobutene, Glycereth-26, Ethylhexylglycerin, Caprylyl Glycol, Adenosine, Sodium Polyacrylate, Centella Asiatica Extract, Sodium Hyaluronate, Caprylyl/Capryl Glucoside, Sorbitan Oleate, Xanthan Gum, Propolis Extract, Asiaticoside, Madecassoside, Madecassic Acid, Asiatic Acid, Glycine, Serine, Glutamic Acid, Aspartic Acid, Leucine, Alanine, Lysine, Arginine, Tyrosine, Phenylalanine, Threonine, Proline, Valine, Isoleucine, Histidine, Methionine, Cysteine [Step 2] Water, Butylene Glycol, Cetyl Ethylhexanoate, Glycerin, Niacinamide, Glyceryl Stearate, Dimethicone, PEG-100 Stearate, 1,2-Hexanediol, Polysorbate 60, Betaine, Simmondsia Chinensis (Jojoba) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Butyrospermum Parkii (Shea) Butter, Ammonium Acryloyldimethyltaurate/VP Copolymer, Palmitic Acid, Stearic Acid, Squalane, Tocopheryl Acetate, Allantoin, Caprylyl Glycol, Xylitylglucoside, Adenosine, Ethylhexylglycerin, Xanthan Gum, Anhydroxylitol, Disodium EDTA, Xylitol, Panthenol, Glucose,Centella Asiatica Extract, Silica, Sodium Hyaluronate, Propolis Extract, Polyglyceryl-10 Laurate, Asiaticoside, Madecassoside, Madecassic Acid, Asiatic Acid, Palmitoyl Pentapeptide-4, Palmitoyl Tripeptide-1, Hexapeptide-9, Acetyl Hexapeptide-8, Tripeptide-1, Copper Tripeptide-1 [Step 3] Water, Glycerin, Cetyl Ethylhexanoate, Brassica Campestris (Rapeseed) Sterols, Cholesterol, Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate, Hydrogenated Lecithin, Collagen Extract, Cocos Nucifera (Coconut) Oil, Niacinamide, Macadamia Ternifolia Seed Oil, Squalane, Polyglyceryl-10 Laurate, 1,2-Hexanediol, Panthenol, Human Umbilical Mesenchymal Stem Cell Conditioned Media Extract, Sodium Stearoyl Glutamate, Carbomer, Tromethamine, Sodium Hyaluronate, Adenosine, Hydrolyzed Elastin, Silica, Ethylhexylglycerin, Leuconostoc/Radish Root Ferment Filtrate, Hydrolyzed Hyaluronic Acid, Caprylyl Glycol, Centella Asiatica Extract(0.1ppm), Acetyl Hexapeptide-8, Fragrance",97.20%,134
